s,Volts
 -2.304e-005,  0.35800001
-2.3036e-005, 0.361999989
-2.3032e-005, 0.361999989
-2.3028e-005, 0.360000014
-2.3024e-005, 0.360000014
 -2.302e-005, 0.361999989
-2.3016e-005,  0.35800001
-2.3012e-005, 0.360000014
-2.3008e-005, 0.361999989
-2.3004e-005,  0.35800001
   -2.3e-005, 0.360000014
-2.2996e-005, 0.361999989
-2.2992e-005,  0.35800001
-2.2988e-005, 0.360000014
-2.2984e-005, 0.360000014
 -2.298e-005, 0.363999993
-2.2976e-005,  0.35800001
-2.2972e-005,  0.35800001
-2.2968e-005, 0.360000014
-2.2964e-005,  0.35800001
 -2.296e-005,  0.35800001
-2.2956e-005,  0.35800001
-2.2952e-005, 0.361999989
-2.2948e-005,  0.35800001
-2.2944e-005, 0.361999989
 -2.294e-005, 0.360000014
-2.2936e-005, 0.360000014
-2.2932e-005,  0.35800001
-2.2928e-005, 0.360000014
-2.2924e-005, 0.361999989
 -2.292e-005, 0.361999989
-2.2916e-005, 0.361999989
-2.2912e-005, 0.363999993
-2.2908e-005, 0.360000014
-2.2904e-005, 0.361999989
  -2.29e-005, 0.360000014
-2.2896e-005, 0.360000014
-2.2892e-005, 0.361999989
-2.2888e-005, 0.361999989
-2.2884e-005, 0.363999993
 -2.288e-005, 0.363999993
-2.2876e-005, 0.360000014
-2.2872e-005, 0.360000014
-2.2868e-005, 0.360000014
-2.2864e-005, 0.360000014
 -2.286e-005, 0.360000014
-2.2856e-005, 0.360000014
-2.2852e-005, 0.360000014
-2.2848e-005, 0.360000014
-2.2844e-005, 0.360000014
 -2.284e-005, 0.361999989
-2.2836e-005, 0.360000014
-2.2832e-005, 0.361999989
-2.2828e-005, 0.356000006
-2.2824e-005, 0.360000014
 -2.282e-005,  0.35800001
-2.2816e-005,  0.35800001
-2.2812e-005, 0.356000006
-2.2808e-005, 0.360000014
-2.2804e-005,  0.35800001
  -2.28e-005, 0.356000006
-2.2796e-005, 0.363999993
-2.2792e-005, 0.354000002
-2.2788e-005, 0.360000014
-2.2784e-005, 0.356000006
 -2.278e-005, 0.356000006
-2.2776e-005, 0.356000006
