s,Volts
 -1.876e-006,           0
-1.8756e-006,-0.0199999996
-1.8752e-006,-0.0199999996
-1.8748e-006,-0.0199999996
-1.8744e-006,0.0199999996
 -1.874e-006,           0
-1.8736e-006,-0.0399999991
-1.8732e-006,0.0199999996
-1.8728e-006,-0.0399999991
-1.8724e-006,           0
 -1.872e-006,           0
-1.8716e-006,0.0199999996
-1.8712e-006,0.0199999996
-1.8708e-006,           0
-1.8704e-006,           0
  -1.87e-006,           0
-1.8696e-006,-0.0399999991
-1.8692e-006,           0
-1.8688e-006,           0
-1.8684e-006,           0
 -1.868e-006,-0.0399999991
-1.8676e-006,-0.0399999991
-1.8672e-006,0.0199999996
-1.8668e-006,-0.0199999996
-1.8664e-006,           0
 -1.866e-006,-0.0199999996
-1.8656e-006,0.0199999996
-1.8652e-006,-0.0199999996
-1.8648e-006,-0.0199999996
-1.8644e-006,-0.0399999991
 -1.864e-006,-0.0199999996
-1.8636e-006,           0
-1.8632e-006,-0.0399999991
-1.8628e-006,-0.0199999996
-1.8624e-006,-0.0199999996
 -1.862e-006,-0.0199999996
-1.8616e-006,-0.0399999991
-1.8612e-006,-0.0199999996
-1.8608e-006,-0.0199999996
-1.8604e-006,-0.0399999991
  -1.86e-006,           0
-1.8596e-006,           0
-1.8592e-006,-0.0599999987
-1.8588e-006,-0.0399999991
-1.8584e-006,           0
 -1.858e-006,-0.0599999987
-1.8576e-006,           0
-1.8572e-006,-0.0399999991
-1.8568e-006,-0.0199999996
-1.8564e-006,           0
 -1.856e-006,-0.0199999996
-1.8556e-006,-0.0399999991
-1.8552e-006,-0.0399999991
-1.8548e-006,-0.0399999991
-1.8544e-006,0.0199999996
 -1.854e-006,-0.0399999991
-1.8536e-006,           0
-1.8532e-006,           0
-1.8528e-006,-0.0199999996
-1.8524e-006,-0.0199999996
 -1.852e-006,-0.0199999996
-1.8516e-006,-0.0199999996
-1.8512e-006,           0
-1.8508e-006,-0.0199999996
-1.8504e-006,-0.0399999991
  -1.85e-006,           0
-1.8496e-006,-0.0199999996
-1.8492e-006,-0.0399999991
-1.8488e-006,-0.0199999996
-1.8484e-006,-0.0599999987
 -1.848e-006,           0
-1.8476e-006,-0.0199999996
-1.8472e-006,-0.0399999991
-1.8468e-006,           0
-1.8464e-006,           0
 -1.846e-006,-0.0199999996
-1.8456e-006,           0
-1.8452e-006,-0.0199999996
-1.8448e-006,           0
-1.8444e-006,0.0199999996
 -1.844e-006,-0.0199999996
-1.8436e-006,-0.0199999996
-1.8432e-006,-0.0399999991
-1.8428e-006,-0.0399999991
-1.8424e-006,-0.0199999996
 -1.842e-006,           0
-1.8416e-006,           0
-1.8412e-006,-0.0199999996
-1.8408e-006,           0
-1.8404e-006,           0
  -1.84e-006,-0.0199999996
-1.8396e-006,           0
-1.8392e-006,-0.0199999996
-1.8388e-006,           0
-1.8384e-006,-0.0199999996
 -1.838e-006,-0.0399999991
-1.8376e-006,-0.0399999991
-1.8372e-006,-0.0199999996
-1.8368e-006,-0.0199999996
-1.8364e-006,-0.0399999991
 -1.836e-006,           0
-1.8356e-006,-0.0399999991
-1.8352e-006,-0.0399999991
-1.8348e-006,-0.0399999991
-1.8344e-006,-0.0399999991
 -1.834e-006,           0
-1.8336e-006,0.0199999996
-1.8332e-006,-0.0199999996
-1.8328e-006,           0
-1.8324e-006,-0.0399999991
 -1.832e-006,-0.0399999991
-1.8316e-006,-0.0399999991
-1.8312e-006,           0
-1.8308e-006,-0.0199999996
-1.8304e-006,-0.0199999996
  -1.83e-006,-0.0199999996
-1.8296e-006,-0.0199999996
-1.8292e-006,-0.0199999996
-1.8288e-006,           0
-1.8284e-006,-0.0199999996
 -1.828e-006,-0.0199999996
-1.8276e-006,-0.0199999996
-1.8272e-006,-0.0399999991
-1.8268e-006,-0.0199999996
-1.8264e-006,           0
 -1.826e-006,-0.0199999996
-1.8256e-006,-0.0399999991
-1.8252e-006,0.0199999996
-1.8248e-006,           0
-1.8244e-006,-0.0399999991
 -1.824e-006,-0.0199999996
-1.8236e-006,           0
-1.8232e-006,-0.0199999996
-1.8228e-006,           0
-1.8224e-006,           0
 -1.822e-006,-0.0199999996
-1.8216e-006,-0.0199999996
-1.8212e-006,-0.0199999996
-1.8208e-006,0.0199999996
-1.8204e-006,-0.0199999996
  -1.82e-006,-0.0199999996
-1.8196e-006,           0
-1.8192e-006,-0.0199999996
-1.8188e-006,-0.0199999996
-1.8184e-006,-0.0599999987
 -1.818e-006,-0.0199999996
-1.8176e-006,-0.0399999991
-1.8172e-006,-0.0199999996
-1.8168e-006,-0.0199999996
-1.8164e-006,-0.0199999996
 -1.816e-006,           0
-1.8156e-006,-0.0199999996
-1.8152e-006,-0.0199999996
-1.8148e-006,-0.0399999991
-1.8144e-006,-0.0199999996
 -1.814e-006,-0.0199999996
-1.8136e-006,-0.0399999991
-1.8132e-006,-0.0199999996
-1.8128e-006,-0.0399999991
-1.8124e-006,-0.0399999991
 -1.812e-006,-0.0199999996
-1.8116e-006,-0.0199999996
-1.8112e-006,-0.0199999996
-1.8108e-006,-0.0199999996
-1.8104e-006,           0
  -1.81e-006,-0.0199999996
-1.8096e-006,-0.0199999996
-1.8092e-006,-0.0199999996
-1.8088e-006,           0
-1.8084e-006,-0.0399999991
 -1.808e-006,           0
-1.8076e-006,-0.0199999996
-1.8072e-006,-0.0199999996
-1.8068e-006,-0.0199999996
-1.8064e-006,-0.0199999996
 -1.806e-006,           0
-1.8056e-006,           0
-1.8052e-006,-0.0199999996
-1.8048e-006,-0.0199999996
-1.8044e-006,-0.0199999996
 -1.804e-006,-0.0399999991
-1.8036e-006,           0
-1.8032e-006,-0.0199999996
-1.8028e-006,           0
-1.8024e-006,0.0199999996
 -1.802e-006,           0
-1.8016e-006,-0.0199999996
-1.8012e-006,-0.0199999996
-1.8008e-006,           0
-1.8004e-006,           0
   -1.8e-006,           0
-1.7996e-006,           0
-1.7992e-006,0.0199999996
-1.7988e-006,-0.0199999996
-1.7984e-006,           0
 -1.798e-006,-0.0199999996
-1.7976e-006,           0
-1.7972e-006,0.0199999996
-1.7968e-006,0.0199999996
-1.7964e-006,           0
 -1.796e-006,           0
-1.7956e-006,-0.0199999996
-1.7952e-006,           0
-1.7948e-006,0.0399999991
-1.7944e-006,           0
 -1.794e-006,-0.0199999996
-1.7936e-006,           0
-1.7932e-006,           0
-1.7928e-006,           0
-1.7924e-006,           0
 -1.792e-006,           0
-1.7916e-006,-0.0199999996
-1.7912e-006,-0.0199999996
-1.7908e-006,           0
-1.7904e-006,0.0199999996
  -1.79e-006,0.0199999996
-1.7896e-006,-0.0199999996
-1.7892e-006,           0
-1.7888e-006,-0.0399999991
-1.7884e-006,           0
 -1.788e-006,-0.0399999991
-1.7876e-006,-0.0199999996
-1.7872e-006,-0.0199999996
-1.7868e-006,-0.0399999991
-1.7864e-006,-0.0199999996
 -1.786e-006,           0
-1.7856e-006,-0.0199999996
-1.7852e-006,-0.0399999991
-1.7848e-006,           0
-1.7844e-006,-0.0399999991
 -1.784e-006,           0
-1.7836e-006,-0.0399999991
-1.7832e-006,0.0199999996
-1.7828e-006,-0.0399999991
-1.7824e-006,           0
 -1.782e-006,           0
-1.7816e-006,-0.0199999996
-1.7812e-006,-0.0199999996
-1.7808e-006,-0.0199999996
-1.7804e-006,-0.0399999991
  -1.78e-006,           0
-1.7796e-006,           0
-1.7792e-006,           0
-1.7788e-006,-0.0399999991
-1.7784e-006,-0.0199999996
 -1.778e-006,-0.0199999996
-1.7776e-006,-0.0199999996
-1.7772e-006,           0
-1.7768e-006,-0.0399999991
-1.7764e-006,-0.0399999991
 -1.776e-006,-0.0399999991
-1.7756e-006,-0.0199999996
-1.7752e-006,-0.0399999991
